Brand,Name,Year,Model,Transmission,Kms,Owner,Fuel Type,Registration,EMI,Price,State
Tata,Tata TIGOR,2021,Revotron XE,Manual,1313,1,Petrol,MH-02,12741,651699,Maharashtra
Maruti,Maruti Wagon R 1.0,2015,VXI,Manual,12793,1,Petrol,MH-02,6837,349699,Maharashtra
Maruti,Maruti New  Wagon-R,2020,ZXI 1.2,Manual,9219,1,Petrol,MH-47,12764,652899,Maharashtra
Maruti,Maruti Swift,2013,VDI,Manual,45308,2,Diesel,MH-05,8168,417799,Maharashtra
Maruti,Maruti Wagon R 1.0,2013,LXI,Manual,61841,1,Petrol,MH-02,5844,298899,Maharashtra
Ford,Ford Ecosport,2017,1.5 TITANIUM TI VCT AT,Automatic,34859,2,Petrol,MH-03,12045,616099,Maharashtra
Maruti,Maruti Celerio,2016,VXI CNG,Manual,19127,1,Petrol + CNG,MH-47,9386,480099,Maharashtra
Honda,Honda Amaze,2019,1.2 SMT I VTEC,Manual,14168,1,Petrol,MH-04,11888,608099,Maharashtra
Volkswagen,Volkswagen Polo,2019,COMFORTLINE  CUP EDITION,Manual,11718,1,Petrol,MH-04,13558,693499,Maharashtra
Datsun,Datsun Redi Go,2019,1.0 S AT,Automatic,3283,1,Petrol,MH-46,6940,354999,Maharashtra
Mercedes,Mercedes Benz E Class,2011,E 250 CDI ELEGANCE,Automatic,78129,2,Diesel,MH-43,17744,944899,Maharashtra
Renault,Renault Kwid,2019,1.0 RXT Opt,Manual,20884,1,Petrol,MH-02,7890,403599,Maharashtra
KIA,KIA SELTOS,2020,HTK PLUS 1.5 DIESEL,Manual,26188,1,Diesel,MH-04,27432,1460799,Maharashtra
Hyundai,Hyundai Elite i20,2016,MAGNA 1.2,Manual,22356,1,Petrol,MH-04,10285,526099,Maharashtra
Maruti,Maruti Swift Dzire,2014,VXI,Manual,78487,1,Petrol,MH-04,8229,420899,Maharashtra
Maruti,Maruti Swift,2017,VXI OPT,Manual,37414,1,Petrol,MH-46,10981,561699,Maharashtra
Maruti,Maruti Swift,2017,ZXI,Manual,53005,1,Petrol,MH-43,10749,549799,Maharashtra
Hyundai,Hyundai Elite i20,2019,1.2 MAGNA PLUS VTVT,Manual,36248,1,Petrol,MH-02,12579,643399,Maharashtra
Maruti,Maruti S PRESSO,2020,VXI CNG,Manual,18982,1,Petrol + CNG,MH-46,11840,605599,Maharashtra
Maruti,Maruti Swift Dzire,2014,ZXI 1.2 BS IV,Manual,55095,1,Petrol,MH-05,9572,489599,Maharashtra
Maruti,Maruti Celerio,2018,ZXI AMT,Automatic,42307,2,Petrol,MH-05,7892,403699,Maharashtra
Renault,Renault Duster,2022,RXZ CVT 1.3 TURBO,Automatic,9752,1,Petrol,MH-02,27780,1479299,Maharashtra
Skoda,Skoda Rapid,2015,1.5 TDI MT AMBITION,Manual,58087,1,Diesel,MH-01,9494,485599,Maharashtra
Maruti,Maruti Celerio,2019,VXI CNG OPT,Manual,52195,1,Petrol + CNG,MH-46,11406,583399,Maharashtra
Maruti,Maruti Celerio,2016,VXI AMT,Automatic,44156,1,Petrol,MH-01,8409,430099,Maharashtra
Hyundai,Hyundai i20,2013,MAGNA O 1.2,Manual,83550,1,Petrol,MH-02,6758,345699,Maharashtra
Maruti,Maruti Dzire,2018,VDI AMT,Automatic,51691,1,Diesel,MH-01,14665,750099,Maharashtra
Honda,Honda Jazz,2016,1.2 S MT,Manual,39580,1,Petrol,MH-01,9810,501799,Maharashtra
Honda,Honda City,2012,V MT PETROL,Manual,86331,2,Petrol,MH-46,7689,393299,Maharashtra
Maruti,Maruti Wagon R 1.0,2015,LXI,Manual,24359,1,Petrol,MH-03,6757,345599,Maharashtra
Honda,Honda CRV,2014,2.4 AT 4WD AVN,Automatic,103683,1,Petrol,MH-12,16482,877699,Maharashtra
Honda,Honda City,2012,1.5 E MT PETROL,Manual,81474,1,Petrol,MH-04,7689,393299,Maharashtra
Tata,Tata Tiago,2021,XZA+ 1.2 RTN,Automatic,964,1,Petrol,MH-47,14320,732499,Maharashtra
Tata,Tata Harrier,2019,XZ 2.0L Kryotec,Manual,39190,1,Diesel,MH-03,30606,1629799,Maharashtra
Renault,Renault Duster,2014,RXL PETROL 104,Manual,96473,1,Petrol,MH-01,10448,534399,Maharashtra
Honda,Honda Brio,2014,1.2 S MT I VTEC,Manual,44857,1,Petrol,MH-43,7515,384399,Maharashtra
